[2026-04-15T14:22:05.317+03:00] model, claude-haiku-4-5-20251001, mode, default, ui-tars-version, undefined, prompt-tokens, 1625, completion-tokens, 35, total-tokens, 1660, cost-ms, 2172, requestId, , temperature, 0
[2026-04-15T14:24:28.968+03:00] model, claude-haiku-4-5-20251001, mode, default, ui-tars-version, undefined, prompt-tokens, 1625, completion-tokens, 35, total-tokens, 1660, cost-ms, 2562, requestId, , temperature, 0
[2026-04-15T14:38:09.071+03:00] model, claude-haiku-4-5-20251001, mode, default, ui-tars-version, undefined, prompt-tokens, 1584, completion-tokens, 35, total-tokens, 1619, cost-ms, 2115, requestId, , temperature, 0
[2026-04-15T14:41:41.236+03:00] model, claude-haiku-4-5-20251001, mode, default, ui-tars-version, undefined, prompt-tokens, 1584, completion-tokens, 35, total-tokens, 1619, cost-ms, 3754, requestId, , temperature, 0
[2026-04-15T14:52:15.058+03:00] model, claude-haiku-4-5-20251001, mode, default, ui-tars-version, undefined, prompt-tokens, 1465, completion-tokens, 34, total-tokens, 1499, cost-ms, 1981, requestId, , temperature, 0
[2026-04-15T14:52:22.855+03:00] model, claude-haiku-4-5-20251001, mode, default, ui-tars-version, undefined, prompt-tokens, 1455, completion-tokens, 182, total-tokens, 1637, cost-ms, 3409, requestId, , temperature, 0
[2026-04-15T14:54:32.067+03:00] model, claude-haiku-4-5-20251001, mode, default, ui-tars-version, undefined, prompt-tokens, 1465, completion-tokens, 34, total-tokens, 1499, cost-ms, 2006, requestId, , temperature, 0
[2026-04-15T14:54:38.443+03:00] model, claude-haiku-4-5-20251001, mode, default, ui-tars-version, undefined, prompt-tokens, 1455, completion-tokens, 34, total-tokens, 1489, cost-ms, 1966, requestId, , temperature, 0
[2026-04-15T15:57:08.363+03:00] model, gpt-4o, mode, default, ui-tars-version, undefined, prompt-tokens, 1470, completion-tokens, 65, total-tokens, 1535, cost-ms, 3921, requestId, req_e14db908320d4fa89945542f0a243e89, temperature, 0
[2026-04-15T15:57:11.551+03:00] model, gpt-4o, mode, default, ui-tars-version, undefined, prompt-tokens, 1124, completion-tokens, 27, total-tokens, 1151, cost-ms, 2980, requestId, req_82fd8c99591c452b891e96a4a2b38814, temperature, 0
[2026-04-15T16:50:43.192+03:00] model, gpt-4o, mode, default, ui-tars-version, undefined, prompt-tokens, 1107, completion-tokens, 27, total-tokens, 1134, cost-ms, 3493, requestId, req_9331f4de2ef542d7b295d203e6c404a5, temperature, 0
[2026-04-15T16:50:44.249+03:00] model, gpt-4o, mode, default, ui-tars-version, undefined, prompt-tokens, 163, completion-tokens, 14, total-tokens, 177, cost-ms, 1054, requestId, req_63ba6c467ab14bd194aa94dba6297646, temperature, 0
[2026-04-15T16:50:51.107+03:00] model, gpt-4o, mode, default, ui-tars-version, undefined, prompt-tokens, 1475, completion-tokens, 77, total-tokens, 1552, cost-ms, 3498, requestId, req_5e5fe72cce764ccc8f067ef6f79494e0, temperature, 0
[2026-04-15T16:51:02.676+03:00] model, gpt-4o, mode, default, ui-tars-version, undefined, prompt-tokens, 1131, completion-tokens, 27, total-tokens, 1158, cost-ms, 3528, requestId, req_a7dfeaae00f248b689cfe24fc916432f, temperature, 0
[2026-04-15T16:51:03.654+03:00] model, gpt-4o, mode, default, ui-tars-version, undefined, prompt-tokens, 187, completion-tokens, 14, total-tokens, 201, cost-ms, 977, requestId, req_39dbdd58631544de9d4ffff6665dbab0, temperature, 0
[2026-04-15T16:51:35.257+03:00] model, gpt-4o, mode, default, ui-tars-version, undefined, prompt-tokens, 1112, completion-tokens, 27, total-tokens, 1139, cost-ms, 5048, requestId, req_d9c8f692c1f1472d9579f5b2922ac4f0, temperature, 0
[2026-04-15T16:51:36.277+03:00] model, gpt-4o, mode, default, ui-tars-version, undefined, prompt-tokens, 168, completion-tokens, 14, total-tokens, 182, cost-ms, 1019, requestId, req_6de65e4b5d7a4d1e80226cd0c7c55ee5, temperature, 0
[2026-04-15T16:56:30.653+03:00] model, gpt-4o, mode, default, ui-tars-version, undefined, prompt-tokens, 1475, completion-tokens, 76, total-tokens, 1551, cost-ms, 2945, requestId, req_64461340cb7e4ea0bcef34fa3373d6f1, temperature, 0
[2026-04-15T16:56:33.266+03:00] model, gpt-4o, mode, default, ui-tars-version, undefined, prompt-tokens, 1145, completion-tokens, 27, total-tokens, 1172, cost-ms, 2375, requestId, req_f55c028fd2314d7cb8c6b0b97a43feff, temperature, 0
[2026-04-15T16:56:34.168+03:00] model, gpt-4o, mode, default, ui-tars-version, undefined, prompt-tokens, 200, completion-tokens, 14, total-tokens, 214, cost-ms, 900, requestId, req_27b9107656dd43da9f8757562a894eb2, temperature, 0
